k,rho,n_1,alpha,pct_greater_d
1,2,2,0.05,0.8167
1,2,2,0.1,0.7805
1,2,3,0.05,0.7278
1,2,3,0.1,0.542
1,2,4,0.05,0.4823
1,2,4,0.1,0.4423
1,2,5,0.05,0.4344
1,2,5,0.1,0.2567
1,2,6,0.05,0.3454
1,2,6,0.1,0.2412
1,2,7,0.05,0.364
1,2,7,0.1,0.1881
1,2,8,0.05,0.0996
1,2,8,0.1,0.0066
1,2,9,0.05,0.1619
1,2,9,0.1,7e-4
1,2,10,0.05,0.2307
1,2,10,0.1,0.01
1,2,11,0.05,0.0263
1,2,11,0.1,0.0023
1,2,12,0.05,0.0355
1,2,12,0.1,0
1,2,13,0.05,0.0311
1,2,13,0.1,0
1,2,14,0.05,0.0327
1,2,14,0.1,0
1,4,2,0.05,0.8812
1,4,2,0.1,0.8475
1,4,3,0.05,0.8185
1,4,3,0.1,0.7629
1,4,4,0.05,0.7612
1,4,4,0.1,0.6078
1,4,5,0.05,0.6718
1,4,5,0.1,0.331
1,4,6,0.05,0.4648
1,4,6,0.1,0.2239
1,4,7,0.05,0.3742
1,4,7,0.1,0.2092
1,4,8,0.05,0.4741
1,4,8,0.1,0.1698
1,4,9,0.05,0.2804
1,4,9,0.1,0
1,4,10,0.05,0.1602
1,4,10,0.1,0.0149
1,4,11,0.05,0.1177
1,4,11,0.1,0
1,4,12,0.05,0.7672
1,4,12,0.1,0.3477
1,4,13,0.05,0.0224
1,4,13,0.1,0
1,4,14,0.05,5e-4
1,4,14,0.1,0
1,6,2,0.05,0.9374
1,6,2,0.1,0.8932
1,6,3,0.05,0.8681
1,6,3,0.1,0.7518
1,6,4,0.05,0.8057
1,6,4,0.1,0.6312
1,6,5,0.05,0.7048
1,6,5,0.1,0.4281
1,6,6,0.05,0.5605
1,6,6,0.1,0.3514
1,6,7,0.05,0.4985
1,6,7,0.1,0.1369
1,6,8,0.05,0.3278
1,6,8,0.1,0.1128
1,6,9,0.05,0.2393
1,6,9,0.1,0.0019
1,6,10,0.05,0.1502
1,6,10,0.1,0.0018
1,6,11,0.05,0.1876
1,6,11,0.1,0
1,6,12,0.05,0.1355
1,6,12,0.1,0.08
1,6,13,0.05,0
1,6,13,0.1,0
1,6,14,0.05,0.2764
1,6,14,0.1,0.1081
1,8,2,0.05,0.9479
1,8,2,0.1,0.9124
1,8,3,0.05,0.8708
1,8,3,0.1,0.7944
1,8,4,0.05,0.8216
1,8,4,0.1,0.6258
1,8,5,0.05,0.7498
1,8,5,0.1,0.4558
1,8,6,0.05,0.5562
1,8,6,0.1,0.2437
1,8,7,0.05,0.3923
1,8,7,0.1,0.1706
1,8,8,0.05,0.3538
1,8,8,0.1,0.009
1,8,9,0.05,0.1622
1,8,9,0.1,0.0034
1,8,10,0.05,0.0803
1,8,10,0.1,0.0064
1,8,11,0.05,0.1163
1,8,11,0.1,0
1,8,12,0.05,0.1551
1,8,12,0.1,0
1,8,13,0.05,0.0718
1,8,13,0.1,0
1,8,14,0.05,0.0222
1,8,14,0.1,0.0015
1,10,2,0.05,0.9483
1,10,2,0.1,0.9266
1,10,3,0.05,0.8683
1,10,3,0.1,0.7692
1,10,4,0.05,0.8089
1,10,4,0.1,0.5972
1,10,5,0.05,0.5081
1,10,5,0.1,0.2522
1,10,6,0.05,0.4541
1,10,6,0.1,0.1116
1,10,7,0.05,0.2961
1,10,7,0.1,0.1387
1,10,8,0.05,0.2114
1,10,8,0.1,0.0279
1,10,9,0.05,0.1665
1,10,9,0.1,0.0321
1,10,10,0.05,0.1182
1,10,10,0.1,0.0113
1,10,11,0.05,0.0506
1,10,11,0.1,0.009
1,10,12,0.05,0.1046
1,10,12,0.1,0.0042
1,10,13,0.05,0.1443
1,10,13,0.1,0
1,10,14,0.05,0.0277
1,10,14,0.1,0.0052
1,12,2,0.05,0.9507
1,12,2,0.1,0.918
1,12,3,0.05,0.8337
1,12,3,0.1,0.7894
1,12,4,0.05,0.789
1,12,4,0.1,0.6412
1,12,5,0.05,0.7432
1,12,5,0.1,0.4132
1,12,6,0.05,0.5647
1,12,6,0.1,0.1348
1,12,7,0.05,0.1711
1,12,7,0.1,0.1147
1,12,8,0.05,0.2139
1,12,8,0.1,0.1178
1,12,9,0.05,0.1234
1,12,9,0.1,0.0345
1,12,10,0.05,0.2052
1,12,10,0.1,0.0732
1,12,11,0.05,0.0293
1,12,11,0.1,0
1,12,12,0.05,0.1535
1,12,12,0.1,0.0017
1,12,13,0.05,0.0058
1,12,13,0.1,0
1,12,14,0.05,8e-4
1,12,14,0.1,0.0033
2,2,2,0.05,0.6179
2,2,2,0.1,0.6344
2,2,3,0.05,0.4658
2,2,3,0.1,0.3654
2,2,4,0.05,0.3532
2,2,4,0.1,0.2897
2,2,5,0.05,0.2058
2,2,5,0.1,0.1178
2,2,6,0.05,0.2722
2,2,6,0.1,0.1178
2,2,7,0.05,0.2404
2,2,7,0.1,0.0651
2,2,8,0.05,0.0869
2,2,8,0.1,0.031
2,2,9,0.05,0.1195
2,2,9,0.1,0.0195
2,2,10,0.05,0.0194
2,2,10,0.1,8e-4
2,2,11,0.05,0.0432
2,2,11,0.1,0.0095
2,2,12,0.05,5e-4
2,2,12,0.1,0
2,2,13,0.05,0.0212
2,2,13,0.1,0.002
2,2,14,0.05,1e-4
2,2,14,0.1,0
2,4,2,0.05,0.6605
2,4,2,0.1,0.6267
2,4,3,0.05,0.4525
2,4,3,0.1,0.3008
2,4,4,0.05,0.3374
2,4,4,0.1,0.3186
2,4,5,0.05,0.0782
2,4,5,0.1,0.0329
2,4,6,0.05,0.1883
2,4,6,0.1,0.0423
2,4,7,0.05,0.0805
2,4,7,0.1,0.0083
2,4,8,0.05,0.0357
2,4,8,0.1,0.0036
2,4,9,0.05,0.0359
2,4,9,0.1,0.0109
2,4,10,0.05,0.0594
2,4,10,0.1,0.0022
2,4,11,0.05,0
2,4,11,0.1,0
2,4,12,0.05,0.0025
2,4,12,0.1,0
2,4,13,0.05,1e-4
2,4,13,0.1,0
2,4,14,0.05,0
2,4,14,0.1,0
2,6,2,0.05,0.6871
2,6,2,0.1,0.5847
2,6,3,0.05,0.3774
2,6,3,0.1,0.3843
2,6,4,0.05,0.2895
2,6,4,0.1,0.0561
2,6,5,0.05,0.0864
2,6,5,0.1,0.0139
2,6,6,0.05,0.1181
2,6,6,0.1,0.0224
2,6,7,0.05,0.0022
2,6,7,0.1,1e-4
2,6,8,0.05,0.0022
2,6,8,0.1,8e-4
2,6,9,0.05,0.0105
2,6,9,0.1,2e-4
2,6,10,0.05,6e-4
2,6,10,0.1,0
2,6,11,0.05,7e-4
2,6,11,0.1,0
2,6,12,0.05,0
2,6,12,0.1,0
2,6,13,0.05,0
2,6,13,0.1,0
2,6,14,0.05,0
2,6,14,0.1,0
2,8,2,0.05,0.6079
2,8,2,0.1,0.6022
2,8,3,0.05,0.4828
2,8,3,0.1,0.3061
2,8,4,0.05,0.2353
2,8,4,0.1,0.044
2,8,5,0.05,0.0481
2,8,5,0.1,0.0203
2,8,6,0.05,0.1129
2,8,6,0.1,0.0018
2,8,7,0.05,5e-4
2,8,7,0.1,0
2,8,8,0.05,2e-4
2,8,8,0.1,0
2,8,9,0.05,0.0024
2,8,9,0.1,0
2,8,10,0.05,0.1255
2,8,10,0.1,1e-4
2,8,11,0.05,1e-4
2,8,11,0.1,1e-4
2,8,12,0.05,0
2,8,12,0.1,0
2,8,13,0.05,0
2,8,13,0.1,0
2,8,14,0.05,0
2,8,14,0.1,0
2,10,2,0.05,0.646
2,10,2,0.1,0.5117
2,10,3,0.05,0.5698
2,10,3,0.1,0.4837
2,10,4,0.05,0.3205
2,10,4,0.1,0.178
2,10,5,0.05,0.0747
2,10,5,0.1,0.0017
2,10,6,0.05,0.3035
2,10,6,0.1,0.0011
2,10,7,0.05,0.3759
2,10,7,0.1,0
2,10,8,0.05,1e-4
2,10,8,0.1,0
2,10,9,0.05,0.0206
2,10,9,0.1,0
2,10,10,0.05,0
2,10,10,0.1,0
2,10,11,0.05,0
2,10,11,0.1,0
2,10,12,0.05,0
2,10,12,0.1,0
2,10,13,0.05,0
2,10,13,0.1,0
2,10,14,0.05,0
2,10,14,0.1,0
2,12,2,0.05,0.6499
2,12,2,0.1,0.5362
2,12,3,0.05,0.5901
2,12,3,0.1,0.417
2,12,4,0.05,0.5432
2,12,4,0.1,0.0237
2,12,5,0.05,0.2027
2,12,5,0.1,0.0012
2,12,6,0.05,0.0337
2,12,6,0.1,4e-4
2,12,7,0.05,0.0234
2,12,7,0.1,1e-4
2,12,8,0.05,3e-4
2,12,8,0.1,0
2,12,9,0.05,5e-4
2,12,9,0.1,0
2,12,10,0.05,0.0454
2,12,10,0.1,0
2,12,11,0.05,2e-4
2,12,11,0.1,0
2,12,12,0.05,0
2,12,12,0.1,0
2,12,13,0.05,0
2,12,13,0.1,0
2,12,14,0.05,0
2,12,14,0.1,0
4,2,2,0.05,0.9635
4,2,2,0.1,0.9369
4,2,3,0.05,0.9177
4,2,3,0.1,0.8413
4,2,4,0.05,0.8081
4,2,4,0.1,0.7001
4,2,5,0.05,0.6863
4,2,5,0.1,0.5421
4,2,6,0.05,0.7018
4,2,6,0.1,0.4197
4,2,7,0.05,0.4799
4,2,7,0.1,0.2251
4,2,8,0.05,0.2746
4,2,8,0.1,0.1426
4,2,9,0.05,0.4165
4,2,9,0.1,0.0291
4,2,10,0.05,0.3697
4,2,10,0.1,0.3032
4,2,11,0.05,0.3393
4,2,11,0.1,0.0107
4,2,12,0.05,0.1927
4,2,12,0.1,0.0086
4,2,13,0.05,0.2494
4,2,13,0.1,0.0638
4,2,14,0.05,0.0572
4,2,14,0.1,0
4,4,2,0.05,0.9561
4,4,2,0.1,0.9082
4,4,3,0.05,0.8365
4,4,3,0.1,0.7168
4,4,4,0.05,0.7511
4,4,4,0.1,0.5674
4,4,5,0.05,0.6326
4,4,5,0.1,0.4121
4,4,6,0.05,0.4655
4,4,6,0.1,0.091
4,4,7,0.05,0.409
4,4,7,0.1,0.071
4,4,8,0.05,0.4557
4,4,8,0.1,0.0069
4,4,9,0.05,0.2695
4,4,9,0.1,0.0117
4,4,10,0.05,0.2326
4,4,10,0.1,0.0031
4,4,11,0.05,0.0184
4,4,11,0.1,4e-4
4,4,12,0.05,0.4717
4,4,12,0.1,0
4,4,13,0.05,0.0155
4,4,13,0.1,0.0015
4,4,14,0.05,0.6314
4,4,14,0.1,0.0849
4,6,2,0.05,0.8965
4,6,2,0.1,0.8874
4,6,3,0.05,0.3858
4,6,3,0.1,0.328
4,6,4,0.05,0.2982
4,6,4,0.1,0.2159
4,6,5,0.05,0.5691
4,6,5,0.1,0.0749
4,6,6,0.05,0.1231
4,6,6,0.1,0.0714
4,6,7,0.05,0.0849
4,6,7,0.1,0.0275
4,6,8,0.05,0.0924
4,6,8,0.1,0.017
4,6,9,0.05,0.0258
4,6,9,0.1,0.0015
4,6,10,0.05,0.4758
4,6,10,0.1,1e-4
4,6,11,0.05,0.1435
4,6,11,0.1,0
4,6,12,0.05,0.1359
4,6,12,0.1,0
4,6,13,0.05,5e-4
4,6,13,0.1,0
4,6,14,0.05,1e-4
4,6,14,0.1,0
4,8,2,0.05,0.3722
4,8,2,0.1,0.3385
4,8,3,0.05,0.3178
4,8,3,0.1,0.2514
4,8,4,0.05,0.3098
4,8,4,0.1,0.1902
4,8,5,0.05,0.1777
4,8,5,0.1,0.0976
4,8,6,0.05,0.0651
4,8,6,0.1,0.0191
4,8,7,0.05,0.0425
4,8,7,0.1,0.0564
4,8,8,0.05,0.0396
4,8,8,0.1,0.0038
4,8,9,0.05,0.0565
4,8,9,0.1,6e-4
4,8,10,0.05,0.0446
4,8,10,0.1,0.005
4,8,11,0.05,0
4,8,11,0.1,0
4,8,12,0.05,1e-4
4,8,12,0.1,0
4,8,13,0.05,0.0025
4,8,13,0.1,0
4,8,14,0.05,0.0067
4,8,14,0.1,0.0077
4,10,2,0.05,0.3818
4,10,2,0.1,0.3412
4,10,3,0.05,0.2726
4,10,3,0.1,0.2458
4,10,4,0.05,0.4143
4,10,4,0.1,0.2457
4,10,5,0.05,0.152
4,10,5,0.1,0.0458
4,10,6,0.05,0.0618
4,10,6,0.1,0.0291
4,10,7,0.05,0.0171
4,10,7,0.1,0.0038
4,10,8,0.05,0.048
4,10,8,0.1,0.0023
4,10,9,0.05,0.1614
4,10,9,0.1,0.0011
4,10,10,0.05,0.0077
4,10,10,0.1,4e-4
4,10,11,0.05,1e-4
4,10,11,0.1,0
4,10,12,0.05,1e-4
4,10,12,0.1,0
4,10,13,0.05,0
4,10,13,0.1,0
4,10,14,0.05,2e-4
4,10,14,0.1,0
4,12,2,0.05,0.3304
4,12,2,0.1,0.2753
4,12,3,0.05,0.5526
4,12,3,0.1,0.3161
4,12,4,0.05,0.23
4,12,4,0.1,0.0751
4,12,5,0.05,0.1283
4,12,5,0.1,0.0422
4,12,6,0.05,0.0525
4,12,6,0.1,0.0048
4,12,7,0.05,0.0298
4,12,7,0.1,0.0051
4,12,8,0.05,0.0226
4,12,8,0.1,0.0048
4,12,9,0.05,0.0015
4,12,9,0.1,1e-4
4,12,10,0.05,0.0271
4,12,10,0.1,0
4,12,11,0.05,0.0321
4,12,11,0.1,8e-4
4,12,12,0.05,0
4,12,12,0.1,0
4,12,13,0.05,0
4,12,13,0.1,0
4,12,14,0.05,0
4,12,14,0.1,0
